[NODE]-[N4]-[1]-[2]     [BEAMCOLUMN]-[E3]-[1]-[2]
-1.5     -8.16451
3.55271e-14     -5.26516e-14
1.5     8.16451
3     16.329
4.5     24.4935
6     32.658
7.5     40.8225
9     48.987
10.5     57.1515
12     65.316
13.5     73.4805
15     81.6451
16.5     89.8096
18     97.9741
19.5     106.139
21     114.303
22.5     122.468
24     130.632
25.5     138.797
27     146.961
28.5     155.126
30     163.29
31.5     171.455
33     179.619
34.5     187.784
36     195.948
37.5     204.113
39     212.277
40.5     220.442
42     228.606
43.5     236.771
45     244.935
43.2     235.138
41.4     225.34
39.6     215.543
37.8     205.746
36     195.948
34.2     186.151
32.4     176.353
30.6     166.556
28.8     156.758
27     146.961
25.2     137.164
23.4     127.366
21.6     117.569
19.8     107.771
18     97.9741
16.2     88.1767
14.4     78.3792
12.6     68.5818
10.8     58.7844
9     48.987
7.2     39.1896
5.4     29.3922
3.6     19.5948
1.8     9.79741
4.50751e-14     -2.95987e-14
-1.8     -9.79741
-3.6     -19.5948
-5.4     -29.3922
-7.2     -39.1896
-9     -48.987
-10.8     -58.7844
-12.6     -68.5818
-14.4     -78.3792
-16.2     -88.1767
-18     -97.9741
-19.8     -107.771
-21.6     -117.569
-23.4     -127.366
-25.2     -137.164
-27     -146.961
-28.8     -156.758
-30.6     -166.556
-32.4     -176.353
-34.2     -186.151
-36     -195.948
-37.8     -205.746
-39.6     -215.543
-41.4     -225.34
-43.2     -235.138
-45     -244.935
-43.2     -235.138
-41.4     -225.34
-39.6     -215.543
-37.8     -205.746
-36     -195.948
-34.2     -186.151
-32.4     -176.353
-30.6     -166.556
-28.8     -156.758
-27     -146.961
-25.2     -137.164
-23.4     -127.366
-21.6     -117.569
-19.8     -107.771
-18     -97.9741
-16.2     -88.1767
-14.4     -78.3792
-12.6     -68.5818
-10.8     -58.7844
-9     -48.987
-7.2     -39.1896
-5.4     -29.3922
-3.6     -19.5948
-1.8     -9.79741
4.72955e-14     2.56956e-14
1.8     9.79741
3.6     19.5948
5.4     29.3922
7.2     39.1896
9     48.987
10.8     58.7844
12.6     68.5818
14.4     78.3792
16.2     88.1767
18     97.9741
19.8     107.771
21.6     117.569
23.4     127.366
25.2     137.164
27     146.961
28.8     156.758
30.6     166.556
32.4     176.353
34.2     186.151
36     195.948
37.8     205.746
39.6     215.543
41.4     225.34
43.2     235.138
45     244.935
43.2     235.138
41.4     225.34
39.6     215.543
37.8     205.746
36     195.948
34.2     186.151
32.4     176.353
30.6     166.556
28.8     156.758
27     146.961
25.2     137.164
23.4     127.366
21.6     117.569
19.8     107.771
18     97.9741
16.2     88.1767
14.4     78.3792
12.6     68.5818
10.8     58.7844
9     48.987
7.2     39.1896
5.4     29.3922
3.6     19.5948
1.8     9.79741
4.50751e-14     -2.95987e-14
-1.8     -9.79741
-3.6     -19.5948
-5.4     -29.3922
-7.2     -39.1896
-9     -48.987
-10.8     -58.7844
-12.6     -68.5818
-14.4     -78.3792
-16.2     -88.1767
-18     -97.9741
-19.8     -107.771
-21.6     -117.569
-23.4     -127.366
-25.2     -137.164
-27     -146.961
-28.8     -156.758
-30.6     -166.556
-32.4     -176.353
-34.2     -186.151
-36     -195.948
-37.8     -205.746
-39.6     -215.543
-41.4     -225.34
-43.2     -235.138
-45     -244.935
-43.2     -235.138
-41.4     -225.34
-39.6     -215.543
-37.8     -205.746
-36     -195.948
-34.2     -186.151
-32.4     -176.353
-30.6     -166.556
-28.8     -156.758
-27     -146.961
-25.2     -137.164
-23.4     -127.366
-21.6     -117.569
-19.8     -107.771
-18     -97.9741
-16.2     -88.1767
-14.4     -78.3792
-12.6     -68.5818
-10.8     -58.7844
-9     -48.987
-7.2     -39.1896
-5.4     -29.3922
-3.6     -19.5948
-1.8     -9.79741
4.72955e-14     2.56956e-14
1.8     9.79741
3.6     19.5948
5.4     29.3922
7.2     39.1896
9     48.987
10.8     58.7844
12.6     68.5818
14.4     78.3792
16.2     88.1767
18     97.9741
19.8     107.771
21.6     117.569
23.4     127.366
25.2     137.164
27     146.961
28.8     156.758
30.6     166.556
32.4     176.353
34.2     186.151
36     195.948
37.8     205.746
39.6     215.543
41.4     225.34
43.2     235.138
45     244.935
43.2     235.138
41.4     225.34
39.6     215.543
37.8     205.746
36     195.948
34.2     186.151
32.4     176.353
30.6     166.556
