U_Link_disp     U_Link_shear
0.0551716     -780.41
0.0549783     -869.622
0.054814     -945.47
0.0547118     -992.651
0.0546198     -1029.83
0.0541775     -1058.11
0.053436     -1080.55
0.0525146     -1099.53
0.0514702     -1116.14
0.0503346     -1131
0.0491283     -1144.51
0.0478648     -1156.92
0.0465539     -1168.43
0.0452029     -1179.17
0.0438174     -1189.26
0.0424018     -1198.77
0.0409597     -1207.78
0.039494     -1216.34
0.038007     -1224.5
0.0365009     -1232.29
0.0349772     -1239.76
0.0334376     -1246.92
0.0318833     -1253.8
0.0303155     -1260.42
0.028735     -1266.81
0.0271429     -1272.98
0.0255399     -1278.94
0.0239266     -1284.71
0.0223038     -1290.29
0.020672     -1295.71
0.0190317     -1300.97
0.0173833     -1306.08
0.0157274     -1311.04
0.0140642     -1315.87
0.0123942     -1320.57
0.0107177     -1325.14
0.009035     -1329.6
0.00734638     -1333.95
0.0056521     -1338.2
0.00395242     -1342.34
0.00224756     -1346.38
0.000537739     -1350.33
-0.00117685     -1354.19
-0.00289601     -1357.97
-0.00461957     -1361.66
-0.00634736     -1365.28
-0.00807922     -1368.82
-0.00981502     -1372.28
-0.0115546     -1375.67
-0.0132979     -1379
-0.0150446     -1382.26
-0.0167948     -1385.45
-0.0185483     -1388.58
-0.020305     -1391.65
-0.0220648     -1394.67
-0.0238276     -1397.63
-0.0255933     -1400.53
-0.0273618     -1403.38
-0.0291331     -1406.18
-0.030907     -1408.93
-0.0326835     -1411.63
-0.0344625     -1414.29
-0.036244     -1416.9
-0.0380278     -1419.46
-0.039814     -1421.98
-0.0416023     -1424.46
-0.0433929     -1426.9
-0.0451856     -1429.3
-0.0469804     -1431.65
-0.0487772     -1433.98
-0.050576     -1436.26
-0.0523767     -1438.51
-0.0541793     -1440.72
-0.0559837     -1442.9
-0.0577899     -1445.04
-0.0595978     -1447.16
-0.0594046     -1357.94
-0.0592113     -1268.73
-0.059018     -1179.52
-0.0588247     -1090.31
-0.0586314     -1001.1
-0.0584381     -911.884
-0.0582448     -822.672
-0.0580515     -733.46
-0.0578582     -644.249
-0.0576649     -555.037
-0.0574716     -465.825
-0.0572783     -376.613
-0.057085     -287.401
-0.0568918     -198.189
-0.0566985     -108.977
-0.0565052     -19.7653
-0.0563119     69.4466
-0.0561186     158.659
-0.0559253     247.87
-0.055732     337.082
-0.0555387     426.294
-0.0553454     515.506
-0.0551521     604.718
-0.0549588     693.93
-0.0547655     783.142
-0.0545722     872.354
-0.0544081     948.124
-0.0543062     995.154
-0.0542159     1032.22
-0.0537794     1060.45
-0.0530426     1082.84
-0.0521256     1101.77
-0.0510851     1118.34
-0.0499534     1133.17
-0.0487506     1146.64
-0.0474906     1159.02
-0.0461831     1170.5
-0.0448355     1181.21
-0.0434532     1191.27
-0.0420408     1200.76
-0.0406018     1209.74
-0.0391391     1218.28
-0.0376551     1226.41
-0.0361519     1234.18
-0.0346311     1241.62
-0.0330944     1248.76
-0.0315429     1255.62
-0.0299778     1262.23
-0.0284     1268.6
-0.0268106     1274.75
-0.0252102     1280.69
-0.0235995     1286.44
-0.0219793     1292.01
-0.02035     1297.41
-0.0187122     1302.65
-0.0170663     1307.74
-0.0154128     1312.69
-0.0137521     1317.5
-0.0120844     1322.18
-0.0104103     1326.75
-0.00872994     1331.19
-0.00704363     1335.53
-0.00535164     1339.76
-0.00365422     1343.88
-0.0019516     1347.91
-0.000243991     1351.85
0.0014684     1355.7
0.00318539     1359.46
0.00490679     1363.14
0.00663246     1366.75
0.00836221     1370.27
0.0100959     1373.72
0.0118334     1377.1
0.0135746     1380.42
0.0153194     1383.66
0.0170676     1386.85
0.0188191     1389.97
0.0205738     1393.03
0.0223316     1396.03
0.0240925     1398.98
0.0258562     1401.87
0.0276229     1404.71
0.0293922     1407.5
0.0311643     1410.24
0.0329389     1412.93
0.0347161     1415.58
0.0364957     1418.17
0.0382777     1420.73
0.0400621     1423.24
