qc av (%)	Lateral Force (kN)
0.074244224	143.96
0.066265783	154.48
0.078698479	164.02
0.102658633	174.14
0.094797491	184.35
0.103774361	194.27
0.112138876	204.28
0.12058338	214.47
0.119717806	224.55
0.105177003	235.01
0.125167992	244.44
0.108853426	231.33
0.118828439	220.85
0.13150467	210.9
0.103421126	200.72
0.121027458	191.15
0.105555214	180.99
0.111182591	171.03
0.095810827	160.68
0.089474641	151.2
0.076709626	141.51
0.080680623	131.29
0.063225517	121.56
0.071396152	111.83
0.07019716	101.63
0.028943471	92
0.05516758	81.76
0.028630185	72.05
0.038377985	61.95
0.033131801	51.98
0.016034622	41.83
0.023114739	31.73
0.01531902	21.78
0.014286636	11.35
0.012955705	1.91
0.004617451	-7.75
-0.005814925	-17.47
-0.023181183	-27.3
-0.014171662	-37.46
-0.018732925	-47.32
-0.027311969	-57.05
-0.038246978	-67.07
-0.056245298	-77.56
-0.034703797	-87.5
-0.058065132	-97.64
-0.053844017	-107.91
-0.052936072	-117.93
-0.059098465	-128.1
-0.069495408	-138.28
-0.078170282	-148.45
-0.079844369	-158.59
-0.085182912	-168.69
-0.100978425	-178.77
-0.093891031	-189.46
-0.102068957	-199.51
-0.106533104	-209.44
-0.111914167	-220.03
-0.128055817	-230.33
-0.135796528	-240.46
-0.151266972	-227.55
-0.117362377	-216.95
-0.113084225	-206.28
-0.107309375	-195.98
-0.097614313	-186.02
-0.096475967	-175.74
-0.093477422	-165.2
-0.087612788	-155.15
-0.085910774	-144.65
-0.077546387	-134.53
-0.066575901	-124.19
-0.066280669	-114.14
-0.070351033	-104.33
-0.058496142	-94
-0.052928701	-83.83
-0.044919864	-73.83
-0.036671902	-63.9
-0.045650181	-53.93
-0.024081102	-44.1
-0.023123217	-34.17
-0.020173281	-24.17
-0.014072018	-14.52
-0.00564572	-4.83
-0.012507408	6.19
0.00238163	14.39
-0.005149158	24.6
0.011869046	35.1
0.002017521	45.01
0.033408634	55
0.01607814	64.81
0.049785526	74.93
0.050121155	84.71
0.06378529	94.78
0.048438238	104.61
0.064078338	114.27
0.057788894	124.47
0.092462106	134.04
0.058074655	144.08
0.08131752	154.26
0.096553224	164.09
0.105597511	174.27
0.093822314	184.67
0.102170314	194.55
0.114402863	204.54
0.104286715	214.49
0.121511946	224.53
0.10906526	234.72
