qtotal (%)	Lateral Force (kN)
0.559916667	184.33
0.590583333	194.11
0.621833333	204.04
0.653125	214.47
0.684583333	224.11
0.715875	234.39
0.746166667	244.29
0.721416667	231.39
0.689791667	220.97
0.658666667	211.15
0.62725	200.9
0.596208333	191.37
0.564583333	180.96
0.533583333	171.01
0.502208333	161.07
0.471	151.29
0.440375	141.41
0.409041667	131.32
0.3775	121.36
0.347125	111.74
0.315666667	101.53
0.284	91.62
0.253041667	81.83
0.221875	72.07
0.19075	61.72
0.159333333	52.03
0.128166667	41.86
0.097125	31.75
0.066083333	21.46
0.035125	11.44
0.003083333	1.72
-0.0275	-7.9
-0.058375	-17.64
-0.089958333	-27.68
-0.120958333	-37.55
-0.152291667	-47.67
-0.182833333	-57.33
-0.21425	-67.31
-0.245708333	-77.66
-0.276083333	-87.74
-0.307541667	-97.91
-0.338791667	-108.19
-0.369833333	-117.78
-0.401375	-128.04
-0.433333333	-138.43
-0.46325	-148.6
-0.494458333	-158.81
-0.526125	-168.83
-0.55725	-178.98
-0.588166667	-189.47
-0.619416667	-199.46
-0.650083333	-209.62
-0.682	-220.02
-0.712833333	-230.02
-0.74375	-240.6
-0.719208333	-227.97
-0.687416667	-216.83
-0.655958333	-206.45
-0.624666667	-196.25
-0.59325	-186.22
-0.563208333	-175.83
-0.531416667	-165.33
-0.500083333	-155.38
-0.468875	-144.86
-0.438208333	-134.45
-0.406666667	-124.44
-0.375416667	-114.16
-0.344333333	-104.37
-0.312541667	-94.19
-0.282041667	-84.15
-0.251	-73.99
-0.219583333	-63.87
-0.188291667	-53.76
-0.157416667	-44.06
-0.125958333	-34.3
-0.094916667	-24.44
-0.0635	-14.46
-0.032916667	-5.02
-0.001666667	4.9
0.029583333	14.33
0.061	24.66
0.091833333	34.76
0.122791667	45.06
0.15425	54.86
0.184291667	64.63
0.216625	74.55
0.247041667	84.39
0.278916667	94.74
0.309458333	104.47
0.341041667	114.24
0.372625	124.21
0.403208333	133.7
0.434791667	144.13
0.465916667	154.53
0.497583333	164.24
0.527916667	174.18
0.5595	184.64
0.590458333	194.36
0.621958333	204.15
0.65325	214.5
0.684	224.32
0.715541667	234.71
0.746625	244.63
0.721375	231.57
0.68975	220.96
0.65825	210.93
0.626833333	201.1
0.595	190.88
0.564833333	181.14
0.533666667	171.23
0.502208333	160.89
0.470708333	150.99
0.440333333	141.5
0.409166667	131.43
0.3775	121.31
0.346541667	111.63
0.315458333	101.54
0.283541667	91.81
0.253166667	81.82
0.221666667	72.01
0.190333333	61.68
0.159333333	52.04
0.127875	41.93
0.09725	31.71
0.065958333	21.47
0.035	11.45
0.003083333	1.84
-0.027375	-7.94
-0.058166667	-17.73
-0.089708333	-27.27
-0.120958333	-37.42
-0.151833333	-47.35
-0.183291667	-57.5
-0.214166667	-67.24
-0.24525	-77.3
-0.276583333	-87.84
-0.307583333	-97.74
-0.338875	-108.05
-0.370166667	-117.89
-0.401291667	-128.17
-0.432875	-138.54
-0.463458333	-148.71
-0.49475	-158.53
-0.525666667	-168.73
-0.557208333	-178.92
-0.587875	-189.19
-0.619625	-199.37
-0.650708333	-209.82
-0.681541667	-219.92
-0.712375	-230.19
-0.744083333	-240.75
-0.71975	-227.74
-0.686958333	-217.07
-0.656541667	-206.23
-0.625083333	-196.44
-0.5935	-186.16
-0.562916667	-175.82
-0.531208333	-165.52
-0.499958333	-155.28
-0.469208333	-144.97
-0.438083333	-134.57
-0.406666667	-124.42
-0.375625	-114.35
-0.344375	-104.23
-0.312458333	-94.13
-0.281958333	-84.26
-0.250708333	-73.7
-0.219583333	-64.09
-0.188208333	-54.14
-0.157333333	-44.12
-0.126333333	-34.42
-0.095041667	-24.23
-0.064125	-14.57
-0.032708333	-4.87
-0.00175	5.24
0.029875	14.53
0.060166667	24.71
0.091875	34.66
0.122791667	44.84
0.154	54.88
0.185375	64.64
0.215833333	74.6
0.247708333	84.54
0.278708333	94.6
0.309875	104.45
0.340875	114.28
0.371958333	123.98
0.40325	133.86
0.434583333	143.96
0.466041667	154.48
0.497166667	164.02
0.52825	174.14
0.559333333	184.35
0.590916667	194.27
0.621833333	204.28
0.653125	214.47
0.683875	224.55
0.715291667	235.01
0.745458333	244.44
0.721208333	231.33
0.690041667	220.85
0.658541667	210.9
0.627208333	200.72
0.59575	191.15
0.564666667	180.99
0.5335	171.03
0.502625	160.68
0.470958333	151.2
0.44	141.51
0.408708333	131.29
0.377625	121.56
0.346625	111.83
0.31525	101.63
0.284208333	92
0.252708333	81.76
0.221375	72.05
0.190708333	61.95
0.15925	51.98
0.128083333	41.83
0.09675	31.73
0.065625	21.78
0.034625	11.35
0.00275	1.91
-0.027333333	-7.75
-0.058416667	-17.47
-0.089375	-27.3
-0.12075	-37.46
-0.152333333	-47.32
-0.182958333	-57.05
-0.214416667	-67.07
-0.245666667	-77.56
-0.276125	-87.5
-0.3075	-97.64
-0.338875	-107.91
-0.370125	-117.93
-0.401	-128.1
-0.432416667	-138.28
-0.4635	-148.45
-0.495166667	-158.59
-0.526166667	-168.69
-0.557333333	-178.77
-0.588	-189.46
-0.619708333	-199.51
-0.650541667	-209.44
-0.68175	-220.03
-0.713	-230.33
-0.743458333	-240.46
-0.719083333	-227.55
-0.687416667	-216.95
-0.656291667	-206.28
-0.624375	-195.98
-0.594083333	-186.02
-0.562625	-175.74
-0.531416667	-165.2
-0.500166667	-155.15
-0.468958333	-144.65
-0.437833333	-134.53
-0.406958333	-124.19
-0.37575	-114.14
-0.344541667	-104.33
-0.312625	-94
-0.28175	-83.83
-0.250375	-73.83
-0.220291667	-63.9
-0.188416667	-53.93
-0.157041667	-44.1
-0.126166667	-34.17
-0.095041667	-24.17
-0.06375	-14.52
-0.032875	-4.83
0.003125	6.19
0.029208333	14.39
0.06075	24.6
0.092208333	35.1
0.122708333	45.01
0.153833333	55
0.185083333	64.81
0.21625	74.93
0.247708333	84.71
0.278541667	94.78
0.31	104.61
0.3415	114.27
0.372375	124.47
0.403541667	134.04
0.434458333	144.08
0.466208333	154.26
0.497416667	164.09
0.528125	174.27
0.5595	184.67
0.59075	194.55
0.622375	204.54
0.65325	214.49
0.684375	224.53
0.715375	234.72
0.7465	244.76
0.777333333	254.72
0.809041667	264.39
0.839833333	273.98
0.871083333	283.75
0.902708333	293.27
0.933041667	302.59
0.964375	312.04
0.995708333	321.28
0.970208333	303.72
0.938375	293.94
0.907375	283.21
0.876	273.53
0.844916667	263.57
0.813416667	253.37
0.782458333	243.56
0.751541667	233.84
0.719625	223.31
0.68925	213.12
0.658125	203.27
0.627041667	193.58
0.595375	183.56
0.564625	173.61
0.533083333	164.05
0.5025	154.01
0.471208333	144.37
0.440208333	134.61
0.409041667	124.7
0.3775	114.9
0.34625	105.01
0.315708333	95.3
0.284125	85.54
0.253	75.27
0.221125	65.69
0.190625	55.81
0.159375	45.78
0.128416667	35.88
0.096708333	25.67
0.066041667	15.45
0.03475	6
0.003208333	-4.13
-0.027	-13.43
-0.058583333	-23.42
-0.089958333	-33.22
-0.120833333	-43.34
-0.151458333	-52.96
-0.182958333	-62.93
-0.214083333	-73.16
-0.245416667	-83.37
-0.2765	-93.33
-0.307166667	-103.4
