U_Link_disp     U_Link_shear
-0.0559915     -336.814
-0.0557983     -247.602
-0.055605     -158.39
-0.0554117     -69.1786
-0.0552184     20.0333
-0.0550251     109.245
-0.0548318     198.457
-0.0546385     287.669
-0.0544452     376.881
-0.0542519     466.093
-0.0540586     555.305
-0.0538653     644.517
-0.053672     733.729
-0.0534787     822.94
-0.0532854     912.152
-0.0530922     1001.36
-0.0529016     1089.31
-0.0527606     1155.08
-0.0526741     1190.15
-0.0525852     1213.57
-0.0524652     1232.24
-0.0522867     1248.24
-0.0520211     1262.33
-0.0516405     1274.82
-0.0511234     1285.88
-0.0504587     1295.61
-0.0496468     1304.13
-0.0486971     1311.59
-0.0476244     1318.13
-0.0464449     1323.9
-0.0451744     1329.02
-0.0438269     1333.58
-0.0424144     1337.69
-0.040947     1341.4
-0.0394329     1344.79
-0.0378791     1347.89
-0.0362912     1350.75
-0.0346739     1353.4
-0.0330311     1355.86
-0.031366     1358.17
-0.0296814     1360.33
-0.0279795     1362.36
-0.0262623     1364.28
-0.0245315     1366.1
-0.0227886     1367.82
-0.0210347     1369.47
-0.0192709     1371.04
-0.0174982     1372.54
-0.0157173     1373.97
-0.0139291     1375.35
-0.0121341     1376.68
-0.010333     1377.95
-0.00852616     1379.18
-0.0067141     1380.37
-0.0048972     1381.52
-0.00307583     1382.63
-0.00125032     1383.71
0.000579042     1384.76
0.00241199     1385.77
0.00424828     1386.76
0.0060877     1387.72
0.00793004     1388.66
0.00977511     1389.57
0.0116228     1390.46
0.0134728     1391.33
0.0153252     1392.17
0.0171796     1393
0.0190362     1393.81
0.0208946     1394.61
0.0227548     1395.38
0.0246167     1396.14
0.0264803     1396.89
0.0283454     1397.62
0.030212     1398.34
0.0320799     1399.04
0.0339492     1399.73
0.0358197     1400.41
0.0376915     1401.08
